Brand;Model;Case Material;Strap Material;Dial Color;Crystal Material;Complications;Movement Type;Water Resistance;Case Diameter (mm);Case Thickness (mm);Power Reserve;Price (USD);Band Width (mm)
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;408;83;45;62500;21
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date;5;300;45;155;120;14900;23
Chopard;Mille Miglia;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;50;42;1267;42;5900;20
Longines;Master Collection;Stainless Steel;Leather;Silver;Sapphire;Date;5;30;40;935;64;1500;20
Montblanc;Heritage;Stainless Steel;Leather;Black;Sapphire;Date;5;50;40;985;38;2700;20
Zenith;El Primero;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;100;42;1275;50;6500;20
Rolex;Datejust;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;41;118;70;7800;21
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph Date;5;50;42;1375;48;5300;20
Tag Heuer;Monaco;Stainless Steel;Leather;Blue;Sapphire;Chronograph;5;100;39;145;42;5900;22
Breitling;Superocean;Stainless Steel;Rubber;Blue;Sapphire;Date;5;1000;44;1421;38;3800;22
Cartier;Ballon Bleu;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;30;42;13;42;7500;22
Jaeger-LeCoultre;Master Ultra Thin;Stainless Steel;Leather;White;Sapphire;Date;5;50;39;75;38;6200;20
Rolex;GMT-Master II;Stainless Steel;Stainless Steel;Black;Sapphire;GMT Date;5;100;40;125;70;9500;20
Omega;Aqua Terra;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;150;415;13;60;4700;20
Tag Heuer;Aquaracer;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;300;41;125;38;2700;20
Breitling;Avenger II;Stainless Steel;Rubber;Black;Sapphire;Chronograph Date;5;300;43;165;42;4600;22
Cartier;Santos;Stainless Steel;Leather;Silver;Sapphire;Date;5;100;351;883;42;5300;22
Rolex;Daytona;Yellow Gold;Leather;Ivory;Sapphire;Chronograph;5;100;40;124;72;39500;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph;3;50;42;143;48;5400;20
TAG Heuer;Monaco;Stainless Steel;Leather;Blue;Sapphire;Chronograph;5;100;39;14;42;6550;22
Cartier;Santos-Dumont;Stainless Steel;Leather;Silver;Sapphire;None;1;30;435;73;95;5300;23
Breitling;Superocean;Stainless Steel;Rubber;Blue;Sapphire;Date;5;1000;42;1332;38;3850;20
Patek Philippe;Calatrava;White Gold;Leather;Silver;Sapphire;None;5;30;39;825;48;25800;20
Tudor;Black Bay;Stainless Steel;Fabric;Black;Sapphire;Date;5;200;41;119;70;4100;22
Blancpain;Fifty Fathoms;Stainless Steel;Rubber;Black;Sapphire;Date;5;300;45;155;120;12900;23
IWC;Portugieser;Stainless Steel;Leather;Blue;Sapphire;None;5;30;41;123;60;6900;22
Vacheron Constantin;Overseas;Stainless Steel;Rubber;Blue;Sapphire;Date;5;150;41;11;40;19800;22
Rolex;Datejust;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;36;12;70;8100;20
Rolex;Datejust;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;36;125;70;6500;20
Omega;Speedmaster Moonwatch;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph;3;50;42;143;48;5400;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;55;44000;20
Cartier;Ballon Bleu;18k Rose Gold;Leather;Silver;Sapphire;Date;5;30;33;996;42;13200;18
Hublot;Classic Fusion;18k King Gold;Rubber;Blue;Sapphire;None;5;50;42;105;42;20200;22
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;24800;20
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Date;5;60;41;128;42;4800;22
Tudor;Black Bay GMT;Stainless Steel;Stainless Steel;Black;Sapphire;GMT;5;200;41;145;70;4000;22
Breguet;Classique;18k White Gold;Leather;White;Sapphire;None;3;30;40;695;65;22500;20
Blancpain;Fifty Fathoms;Stainless Steel;Rubber;Black;Sapphire;Date;5;300;45;154;120;12500;23
Chopard;Mille Miglia;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;50;42;1267;42;6900;22
Panerai;Luminor;Titanium;Leather;Black;Sapphire;None;5;100;44;1565;72;7500;24
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Stopwatch;5;50;41;104;60;25000;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Moon Phase;5;120;405;83;45;70000;22
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Date Stopwatch;5;60;41;108;42;5500;20
Blancpain;Fifty Fathoms;Titanium;Fabric;Black;Sapphire;Date;5;300;45;154;120;12000;23
Ulysse Nardin;Marine;Stainless Steel;Rubber;Blue;Sapphire;Date Power Reserve;5;100;44;144;60;7500;22
Breguet;Classique;Rose Gold;Leather;Silver;Sapphire;None;5;30;38;825;45;20000;20
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Black;Sapphire;None;5;100;38;1088;46;8500;22
Hublot;Big Bang;Ceramic;Rubber;Black;Sapphire;Date Chronograph;5;100;42;141;42;12000;24
Zenith;Chronomaster;Stainless Steel;Leather;Silver;Sapphire;Date Chronograph;5;100;42;1405;50;6000;20
Vacheron Constantin;Overseas;Stainless Steel;Rubber;Blue;Sapphire;Date;5;150;41;11;40;12000;22
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;104;60;22000;20
Hublot;Classic Fusion;Titanium;Rubber;Blue;Sapphire;Date;5;50;42;105;42;8500;22
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;None;3;300;44;1565;56;7200;24
Breguet;Classique;18K White Gold;Leather;Silver;Sapphire;None;3;30;40;61;65;16000;20
Chopard;Happy Sport;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;1;30;30;72;65;5800;15
Ulysse Nardin;Marine;Stainless Steel;Rubber;Blue;Sapphire;Date;5;100;422;126;60;8900;22
IWC;Portugieser Chronograph;Stainless Steel;Leather;White;Sapphire;Chronograph;5;30;41;131;46;7600;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;408;83;45;57000;20
Montblanc;1858 Geosphere;Titanium;Leather;Black;Sapphire;GMT;5;100;42;128;42;6500;22
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;150;415;11;60;21000;22
Zenith;Chronomaster El Primero;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;100;38;1245;50;6000;20
Rolex;Daytona;18k Yellow Gold;Leather;Champagne;Sapphire;Chronograph;5;100;40;124;72;29500;20
Audemars Piguet;Royal Oak;Rose Gold;Rose Gold;Blue;Sapphire;None;5;50;37;98;60;36500;18
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;51000;22
IWC;Portuguese;Stainless Steel;Leather;White;Sapphire;Date;5;30;423;142;60;8800;22
Blancpain;Fifty Fathoms;Stainless Steel;Rubber;Black;Sapphire;Date;5;300;45;154;120;13500;23
Hublot;Big Bang;Carbon Fiber;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;19500;22
Ulysse Nardin;Marine;Stainless Steel;Rubber;Blue;Sapphire;Date;5;100;43;126;60;7000;22
Breguet;Classique;18k White Gold;Leather;Silver;Sapphire;None;3;30;38;745;65;23000;20
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;42;1088;46;9500;25
Piaget;Altiplano;18k White Gold;Leather;Silver;Sapphire;None;3;30;40;636;43;18500;20
Vacheron Constantin;Patrimony;18k Rose Gold;Leather;Silver;Sapphire;None;3;30;42;765;65;22500;20
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;Date GMT;5;300;44;1565;72;7500;22
IWC;Portugieser;Stainless Steel;Leather;Blue;Sapphire;Date;5;30;41;123;60;6500;22
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;98;60;20000;20
Hublot;Big Bang;Carbon Fiber;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;12000;26
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;42;1088;54;6500;22
Chopard;Mille Miglia;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;50;42;1143;48;6200;22
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;150;41;11;60;15000;22
Piaget;Altiplano;White Gold;Leather;Silver;Sapphire;None;3;30;40;636;44;22000;20
Zenith;El Primero;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;100;42;1275;50;5500;22
Breguet;Classique;White Gold;Leather;Silver;Sapphire;None;5;30;39;102;45;19000;22
Tudor;Black Bay;Stainless Steel;Leather;Black;Sapphire;None;5;200;41;127;70;3500;22
Rolex;Datejust;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Cyclops;5;100;36;125;70;7400;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph;5;50;42;143;48;5000;20
Cartier;Santos;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;100;398;908;42;6200;20
TAG Heuer;Aquaracer;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;300;43;125;38;3100;21
Breitling;Superocean;Stainless Steel;Rubber;Blue;Sapphire;Date;5;1000;42;133;38;4100;20
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;None;5;300;44;1305;72;6500;24
Tudor;Black Bay;Stainless Steel;Leather;Black;Sapphire;Date;5;200;41;127;70;3800;22
Zenith;Elite Classic;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;39;815;50;4900;20
Longines;Conquest Classic;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;1075;54;1850;20
Montblanc;Star Legacy;Stainless Steel;Leather;White;Sapphire;Date Moonphase;5;50;42;114;42;3900;22
Baume & Mercier;Clifton Baumatic;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;40;103;120;2750;20
Rolex;Datejust;Stainless Steel;Jubilee Bracelet;Blue;Sapphire;Date;5;100;41;118;70;9500;20
Omega;Speedmaster Moonwatch;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph Tachymeter;3;50;42;1375;48;5350;20
Breitling;Superocean Heritage;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;200;44;142;38;3250;22
Cartier;Santos-Dumont;18K Yellow Gold;Leather;Silver;Sapphire;None;3;30;275;65;76;14200;18
Tag Heuer;Monaco;Stainless Steel;Leather;Blue;Sapphire;Chronograph;5;100;39;14;40;4950;22
Jaeger-LeCoultre;Master Control;Stainless Steel;Leather;Silver;Sapphire;Date Moonphase;5;50;40;85;70;6500;20
Panerai;Luminor;Titanium;Rubber;Black;Sapphire;None;3;300;44;156;72;8500;24
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;27000;20
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;30;404;123;46;7250;20
Patek Philippe;Calatrava;18K White Gold;Leather;White;Sapphire;None;3;30;38;825;44;25000;20
Bell & Ross;BR 03-92;Ceramic;Rubber;Black;Sapphire;None;5;100;42;98;40;3800;24
Rolex;Datejust;Stainless Steel;Stainless Steel;Silver;Sapphire;Date Cyclops Lens;5;100;36;125;70;8000;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph Tachymeter;3;50;42;143;48;4500;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;408;83;45;52000;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;28500;20
IWC;Pilot's Watch Mark;Stainless Steel;Leather;Black;Sapphire;Date Chronograph;5;60;41;125;44;6800;20
Hublot;Big Bang;Ceramic;Rubber;Black;Sapphire;Chronograph;5;100;42;141;72;16000;24
Zenith;El Primero;Stainless Steel;Leather;Black;Sapphire;Chronograph;5;100;42;1275;50;6500;20
Breguet;Classique;18K White Gold;Leather;Silver;Sapphire;None;5;30;39;865;40;19000;20
Blancpain;Fifty Fathoms;Stainless Steel;Rubber;Black;Sapphire;Date;5;300;45;155;120;13500;23
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;42;1088;46;8000;25
Jaquet Droz;Grande Seconde;Stainless Steel;Leather;Silver;Sapphire;None;5;30;43;1248;68;10000;23
Rolex;GMT-Master II;Stainless Steel;Stainless Steel;Black;Sapphire;Date GMT;5;100;40;125;70;9700;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;29800;21
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph;3;50;42;143;48;5350;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;98;60;18500;20
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Date;5;60;43;15;72;4950;22
Zenith;El Primero;Stainless Steel;Leather;White;Sapphire;Chronograph Date;5;100;42;1275;50;7900;20
Cartier;Santos-Dumont;Stainless Steel;Leather;Silver;Sapphire;None;3;30;314;725;55;4500;18
Hublot;Big Bang;Titanium;Rubber;Black;Sapphire;Chronograph Date;5;100;44;145;72;16000;24
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;42;1088;54;12800;22
Jaeger-LeCoultre;Master Control;Stainless Steel;Leather;Silver;Sapphire;Date Power Reserve Indicator;5;50;40;878;70;8500;20
IWC;Portugieser;Stainless Steel;Leather;Blue;Sapphire;Date Power Reserve Indicator;5;30;41;123;42;8500;22
Panerai;Luminor;Titanium;Rubber;Black;Sapphire;Date Sub Seconds;5;300;44;1305;72;7500;24
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;39000;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;37;98;40;19500;20
Hublot;Big Bang;Titanium;Rubber;Black;Sapphire;Date Chronograph;5;100;44;145;72;13000;24
Zenith;El Primero;Stainless Steel;Leather;White;Sapphire;Date Chronograph Moon Phase;5;100;42;1275;50;7500;20
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Blue;Sapphire;Date World Time;5;150;41;11;60;23000;22
Breguet;Classique;18K White Gold;Leather;Silver;Sapphire;None;3;30;40;695;50;24000;20
Blancpain;Fifty Fathoms;Stainless Steel;Fabric;Black;Sapphire;Date Power Reserve Indicator;5;300;45;155;120;11000;23
Chopard;Mille Miglia;Stainless Steel;Leather;Black;Sapphire;Date Chronograph;5;50;44;1445;42;6000;22
Rolex;Datejust;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;100;36;12;70;7500;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph Tachymeter;5;50;42;137;60;6500;20
Tag Heuer;Aquaracer;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;300;43;13;38;3700;21
Breitling;Superocean;Stainless Steel;Rubber;Black;Sapphire;Date;5;200;44;142;42;4500;22
Cartier;Ballon Bleu;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;30;42;13;42;7500;22
Jaeger-LeCoultre;Master Control;Stainless Steel;Leather;Silver;Sapphire;Date Power Reserve;5;50;40;88;70;6000;20
Rolex;GMT-Master II;Stainless Steel;Stainless Steel;Black;Sapphire;Dual Time Zone;5;100;40;125;70;9500;20
Omega;Constellation;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;100;39;106;50;4800;20
Tag Heuer;Monaco;Stainless Steel;Leather;Blue;Sapphire;Chronograph;5;100;39;145;40;5200;22
Breitling;Chronomat;Stainless Steel;Stainless Steel;Blue;Sapphire;Chronograph Date;5;200;44;1695;70;6900;22
Cartier;Santos;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;100;351;883;42;5500;18
Rolex;Datejust;Stainless Steel;Stainless Steel;White;Sapphire;Date;5;100;41;117;70;8000;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;40000;21
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;37;9;60;18000;16
IWC;Portugieser;Stainless Steel;Leather;White;Sapphire;Date;5;30;404;123;60;7500;22
Hublot;Big Bang;Titanium;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;14000;25
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date;5;300;45;154;120;14000;23
Breguet;Classique;Rose Gold;Leather;Silver;Sapphire;None;3;30;40;68;55;25000;20
Jaeger-LeCoultre;Master Ultra Thin;Stainless Steel;Leather;Silver;Sapphire;None;5;50;39;78;70;6500;20
Zenith;El Primero;Stainless Steel;Stainless Steel;Blue;Sapphire;Chronograph;5;100;42;1275;50;7000;20
Bulgari;Octo Finissimo;Titanium;Titanium;Black;Sapphire;None;5;30;40;515;55;10000;28
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;42;1088;54;9000;22
Rolex;GMT-Master II;Stainless Steel;Stainless Steel;Black;Sapphire;GMT Date;5;100;40;121;70;9450;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;408;83;55;29800;21
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Chronograph;5;50;41;98;50;22300;20
Hublot;Classic Fusion;Titanium;Rubber;Black;Sapphire;Date;5;50;42;106;42;8100;22
IWC;Pilot's Watch Mark XVIII;Stainless Steel;Leather;Black;Sapphire;Date;5;60;40;108;42;3900;20
A. Lange & Söhne;Saxonia;Rose Gold;Leather;Silver;Sapphire;None;3;30;385;78;72;23300;18
Breguet;Classique;Rose Gold;Leather;Silver;Sapphire;Date;5;30;39;865;65;23200;20
Chopard;Mille Miglia;Stainless Steel;Leather;Black;Sapphire;Date Chronograph Tachymeter;5;50;44;144;42;6300;22
Zenith;El Primero;Stainless Steel;Leather;White;Sapphire;Date Chronograph;5;100;38;1245;50;5600;20
Panerai;Luminor;Titanium;Leather;Black;Sapphire;None;3;100;44;1305;56;6900;24
Rolex;Daytona;Stainless Steel;Stainless Steel;White;Sapphire;Chronograph;5;100;40;124;72;13500;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph;3;50;42;143;48;4500;20
Cartier;Santos;Stainless Steel;Leather;Silver;Sapphire;Date;5;100;398;908;42;6600;20
Breitling;Superocean Heritage;Stainless Steel;Leather;Black;Sapphire;Date;5;200;42;1435;38;4400;20
Tag Heuer;Aquaracer;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;300;41;12;38;2800;20
Jaeger-LeCoultre;Master Ultra Thin;Stainless Steel;Leather;Silver;Sapphire;None;5;50;40;745;43;6300;20
Patek Philippe;Calatrava;18k Rose Gold;Leather;White;Sapphire;None;3;30;38;768;44;22900;19
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;98;60;22500;20
Zenith;El Primero;Stainless Steel;Stainless Steel;Blue;Sapphire;Chronograph;5;100;42;1275;50;6900;20
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Black;Sapphire;Date World Time;5;150;41;11;60;20200;20
IWC;Portugieser;Stainless Steel;Leather;Silver;Sapphire;None;5;30;404;126;44;7600;20
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;Date;5;300;44;1565;72;6500;24
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;34000;21
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;98;60;22000;20
IWC;Portugieser;Stainless Steel;Leather;White;Sapphire;Date;5;30;41;123;168;9500;22
Hublot;Big Bang;Ceramic;Rubber;Black;Sapphire;Chronograph;5;100;41;146;42;14000;20
Breguet;Classique;18k Rose Gold;Leather;Silver;Sapphire;None;3;30;39;102;40;26000;22
Zenith;El Primero;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;100;38;125;50;7000;20
Blancpain;Fifty Fathoms;Stainless Steel;NATO strap;Black;Sapphire;None;5;300;45;154;120;10000;23
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;42;1088;54;11500;22
Ulysse Nardin;Marine;Stainless Steel;Leather;Blue;Sapphire;Date;5;100;422;126;60;7500;20
Vacheron Constantin;Overseas;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;150;415;11;60;20000;22
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;40;83;45;26000;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Grey;Sapphire;Date;5;50;41;104;60;17000;20
IWC;Portugieser;Stainless Steel;Leather;White;Sapphire;Chronograph;5;30;423;142;46;7800;22
A. Lange & Söhne;Saxonia;18k Rose Gold;Leather;Silver;Sapphire;None;3;30;37;75;45;17500;18
Vacheron Constantin;Overseas;Stainless Steel;Rubber;Blue;Sapphire;Date;5;150;425;137;40;20000;22
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Black;Sapphire;Chronograph;5;100;41;1088;46;12000;26
Zenith;El Primero;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;100;42;1275;50;7500;22
Blancpain;Fifty Fathoms;Stainless Steel;Rubber;Black;Sapphire;Date;5;300;45;155;120;14000;23
Hublot;Classic Fusion;Titanium;Rubber;Blue;Sapphire;None;5;50;45;1095;42;9500;22
Breguet;Classique;18k White Gold;Leather;Silver;Sapphire;None;3;30;38;825;40;22000;20
Piaget;Polo;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;42;94;44;10500;22
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;29000;22
Audemars Piguet;Royal Oak;Rose Gold;Leather;Black;Sapphire;Date;5;50;37;98;60;38500;20
Hublot;Classic Fusion;Titanium;Rubber;Blue;Sapphire;None;5;50;42;985;42;7500;22
Breguet;Classique;Rose Gold;Leather;Silver;Sapphire;None;5;30;39;102;65;25000;20
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Date;5;60;41;153;42;5900;20
Blancpain;Fifty Fathoms;Stainless Steel;NATO Strap;Black;Sapphire;Date;5;300;45;155;120;12000;23
Zenith;El Primero;Stainless Steel;Leather;Silver;Sapphire;Chronograph;5;100;38;1245;50;6200;20
Chopard;Mille Miglia;Stainless Steel;Rubber;Black;Sapphire;Chronograph;5;50;42;1307;48;6800;20
Vacheron Constantin;Patrimony;White Gold;Leather;Silver;Sapphire;None;3;30;40;679;65;28000;20
Panerai;Luminor;Titanium;Leather;Black;Sapphire;None;5;300;44;1615;72;9500;24
Tudor;Black Bay;Stainless Steel;NATO Strap;Black;Sapphire;None;5;200;41;119;70;3500;22
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;Date;5;300;42;145;50;7200;22
IWC;Portugieser;Stainless Steel;Leather;Blue;Sapphire;None;5;30;41;123;60;7900;22
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;40;83;45;36000;22
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;28500;20
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date;5;300;45;154;120;15000;23
Breguet;Classique;18K Yellow Gold;Leather;Silver;Sapphire;Date;5;30;39;102;38;26000;20
Zenith;Chronomaster;Stainless Steel;Leather;Blue;Sapphire;Chronograph;5;50;42;135;50;6500;22
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;100;38;1088;54;12000;20
Hublot;Big Bang;Titanium;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;18500;24
Jaquet Droz;Grande Seconde;Stainless Steel;Leather;Black;Sapphire;None;5;30;43;1148;68;9500;23
Montblanc;Star Legacy;Stainless Steel;Leather;Silver;Sapphire;Date;5;50;39;99;42;3500;19
Rolex;GMT-Master II;Stainless Steel;Stainless Steel;Black;Sapphire;GMT Date;5;100;40;125;70;9900;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph;3;50;42;143;48;4300;20
IWC;Portugieser;Stainless Steel;Leather;White;Sapphire;None;5;30;404;123;60;7500;20
Hublot;Big Bang;Ceramic;Rubber;Black;Sapphire;Chronograph;5;100;44;145;72;15500;24
Panerai;Luminor Marina;Stainless Steel;Leather;Black;Sapphire;None;3;300;44;1305;56;5200;24
Patek Philippe;Calatrava;White Gold;Leather;White;Sapphire;Date;5;30;37;85;45;25000;18
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;50;41;104;60;19500;20
Vacheron Constantin;Patrimony;Rose Gold;Leather;White;Sapphire;None;5;30;40;679;40;15000;20
Blancpain;Fifty Fathoms;Titanium;Fabric;Black;Sapphire;None;5;300;45;154;120;14000;23
Girard-Perregaux;Laureato;Stainless Steel;Stainless Steel;Blue;Sapphire;None;5;100;42;1088;54;7500;25
Jaquet Droz;Grande Seconde;Stainless Steel;Leather;White;Sapphire;None;5;30;43;1148;68;8500;22
Rolex;Datejust;Stainless Steel;Jubilee Bracelet;Blue;Sapphire;Date;5;100;36;12;70;7650;20
Omega;Speedmaster;Stainless Steel;Stainless Steel;Black;Hesalite;Chronograph;3;50;42;143;48;5200;20
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Chronograph;5;120;405;83;55;67000;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Blue;Sapphire;Date Power Reserve;5;50;41;98;60;25000;20
Cartier;Ballon Bleu;Stainless Steel;Stainless Steel;Silver;Sapphire;Date;5;30;366;1205;42;4700;18
IWC;Portugieser;Stainless Steel;Leather;Blue;Sapphire;None;5;30;423;142;60;9100;22
Jaeger-LeCoultre;Master Control;Stainless Steel;Leather;Silver;Sapphire;Date Moonphase;5;50;39;85;70;8200;20
Blancpain;Fifty Fathoms;Stainless Steel;Canvas;Black;Sapphire;Date;5;300;45;155;120;12500;23
Breguet;Classique;18K Rose Gold;Leather;White;Sapphire;Date Moonphase;5;30;39;99;65;27900;22
Chopard;Mille Miglia;Stainless Steel;Rubber;Black;Sapphire;Chronograph Date;5;50;42;1267;42;6500;20
Seiko;Prospex;Stainless Steel;Silicone;Black;Hardlex;Date GMT;5;200;443;131;50;1200;22
Tudor;Black Bay;Stainless Steel;Leather;Black;Sapphire;None;5;200;41;1475;70;3800;22
IWC;Pilot's Watch;Stainless Steel;Leather;Black;Sapphire;Date;5;60;39;1086;42;4500;20
Panerai;Luminor Marina;Titanium;Rubber;Black;Sapphire;None;5;300;44;1565;72;9500;24
Patek Philippe;Nautilus;Stainless Steel;Stainless Steel;Blue;Sapphire;Date;5;120;405;83;45;35000;20
Audemars Piguet;Royal Oak;Stainless Steel;Stainless Steel;Black;Sapphire;Date;5;50;41;104;60;24000;20
Breguet;Classique;18k Rose Gold;Leather;White;Sapphire;Date;5;30;385;825;38;21500;20
